2.084615712768369633e+01 7.741844746901449525e-01 -8.621118689609327257e-01
2.102800356834389106e+01 7.821190519598095747e-01 -8.288761349550215485e-01
2.146666969989109575e+01 7.974458887006079522e-01 -8.038005987788714446e-01
2.212393756167889691e+01 8.183234108934103190e-01 -7.854590098334346404e-01
2.294758487954806014e+01 8.421881753758011513e-01 -7.745208860539001261e-01
2.393416844477417982e+01 8.716312352965482901e-01 -7.757139905113727973e-01
2.502786789205701723e+01 9.046984995523398299e-01 -7.914012782138999391e-01
2.609505677197865481e+01 9.297633352800662720e-01 -8.179932225639801047e-01
2.707985120291870373e+01 9.406599070401648888e-01 -8.539051979669238790e-01
2.801495264894728621e+01 9.410360324949549327e-01 -9.012171833640986174e-01
2.890123720365716409e+01 9.307740544644911296e-01 -9.586625759214476572e-01
2.973534628815046688e+01 9.087979576625090372e-01 -1.023293107268370417e+00
3.054399598227951529e+01 8.811152871545253618e-01 -1.092866377191274552e+00
3.133937056378484698e+01 8.561601419772132404e-01 -1.163450789722920042e+00
3.208940290840548926e+01 8.352341561350276056e-01 -1.229250477083087434e+00
3.274644146961542646e+01 8.123065442366277367e-01 -1.285977991754750693e+00
3.329311133552849356e+01 7.912525029329788850e-01 -1.332336455830355426e+00
3.371015462358355563e+01 7.782224470588630094e-01 -1.367201180405374528e+00
3.396909321218605271e+01 7.698052421209349294e-01 -1.389099980473955664e+00
3.405664075699482396e+01 7.665403923307867462e-01 -1.396628056884948066e+00
