"Points:0","Points:1","Points:2"
16.7498588562,0.418129503727,0.436423391104
16.7498588562,0.417268306017,0.43725886941
16.7498588562,0.396119832993,0.456312179565
16.7498588562,0.39521959424,0.457103610039
16.7498588562,0.407246887684,0.446502923965
16.7498588562,0.406365901232,0.447316616774
16.7498588562,0.384755223989,0.465845346451
16.7498588562,0.383836239576,0.466614067554
16.7498588562,0.373159885406,0.475096732378
16.7498588562,0.372222781181,0.475842356682
16.7498588562,0.349305838346,0.492732793093
16.7498588562,0.34833419323,0.493430972099
16.7498588562,0.361341059208,0.484061032534
16.7498588562,0.360386371613,0.484783113003
16.7498588562,0.337061673403,0.501107156277
16.7498588562,0.336073637009,0.501780986786
16.7498588562,0.32461592555,0.509178996086
16.7498588562,0.323612064123,0.509828209877
16.7498588562,0.299150139093,0.524396955967
16.7498588562,0.298116505146,0.524995803833
16.7498588562,0.311976194382,0.516943871975
16.7498588562,0.310957163572,0.517568051815
16.7498588562,0.286145478487,0.531534135342
16.7498588562,0.28509786725,0.532107293606
16.7498588562,0.27297013998,0.538351237774
16.7498588562,0.271909207106,0.538898348808
16.7498588562,0.246139064431,0.551009237766
16.7498588562,0.245053336024,0.551503539085
16.7498588562,0.259631961584,0.544844210148
16.7498588562,0.258558303118,0.545365035534
16.7498588562,0.232499584556,0.556843042374
16.7498588562,0.231402441859,0.557310521603
16.7498588562,0.218721613288,0.562341988087
16.7498588562,0.21761366725,0.562782406807
16.7498588562,0.203695386648,0.567916154861
16.7498588562,0.19078348577,0.572323143482
16.7498588562,0.204813465476,0.567503035069
16.7498588562,0.189655929804,0.572708725929
16.7498588562,0.176640033722,0.576799571514
16.7498588562,0.175503656268,0.577157378197
16.7498588562,0.162391573191,0.580929756165
16.7498588562,0.146894574165,0.58501303196
16.7498588562,0.133613690734,0.588141977787
16.7498588562,0.161247044802,0.581259667873
16.7498588562,0.14804661274,0.584711253643
16.7498588562,0.132454842329,0.588415503502
16.7498588562,0.119101434946,0.591219961643
16.7498588562,0.117936432362,0.591465055943
16.7498588562,0.104518443346,0.593943417072
16.7498588562,0.0886981859803,0.596498668194
16.7498588562,0.0751750841737,0.598320603371
16.7498588562,0.103347964585,0.594160020351
16.7498588562,0.0898734480143,0.596310734749
16.7498588562,0.0739957019687,0.598479807377
16.7498588562,0.0604320578277,0.599971950054
16.7498588562,0.059249240905,0.600102305412
16.7498588562,0.04565339908,0.60126376152
16.7498588562,0.0296600293368,0.602267801762
16.7498588562,0.0160230100155,0.602765977383
16.7498588562,0.0444678552449,0.601365208626
16.7498588562,0.030847651884,0.602195262909
16.7498588562,0.0148339578882,0.602809488773
16.7498588562,0.013306719251,0.602785527706
16.7498588562,0.605091035366,0.0136035541072
16.7498588562,0.605076670647,0.0148275205866
16.7498588562,0.600964605808,0.072753354907
16.7498588562,0.600829899311,0.0739668011665
16.7498588562,0.603760957718,0.0432293154299
16.7498588562,0.603686213493,0.0444495156407
16.7498588562,0.604609489441,0.0284245796502
16.7498588562,0.604564905167,0.0296470299363
16.7498588562,0.60254573822,0.0580085963011
16.7498588562,0.602441012859,0.0592257864773
16.7498588562,0.596708357334,0.102103099227
16.7498588562,0.596514165401,0.10330683738
16.7498588562,0.599018394947,0.0874545276165
16.7498588562,0.598853886127,0.0886634811759
16.7498588562,0.594035983086,0.116690032184
16.7498588562,0.593812286854,0.117887817323
16.7498588562,0.591002821922,0.13120636344
16.7498588562,0.590749740601,0.132397472858
16.7498588562,0.57530272007,0.188388302922
16.7498588562,0.57493442297,0.189545601606
16.7498588562,0.583861649036,0.159991651773
16.7498588562,0.583550512791,0.161167263985
16.7498588562,0.587610661983,0.145643204451
16.7498588562,0.587328493595,0.146826922894
16.7498588562,0.579758167267,0.174242973328
16.7498588562,0.579418361187,0.175409764051
16.7498588562,0.56534743309,0.216326668859
16.7498588562,0.564923107624,0.217462867498
16.7498588562,0.570498168468,0.20241907239
16.7498588562,0.570101737976,0.203566163778
16.7498588562,0.559853732586,0.230102524161
16.7498588562,0.559401750565,0.231227189302
16.7498588562,0.554020643234,0.243738308549
16.7498588562,0.553541362286,0.244850754738
16.7498588562,0.527370095253,0.296715527773
16.7498588562,0.526785135269,0.297772705555
16.7498588562,0.541350960732,0.270556360483
16.7498588562,0.540818154812,0.271642446518
16.7498588562,0.547851741314,0.257225692272
16.7498588562,0.547345519066,0.258325278759
16.7498588562,0.534522294998,0.283722341061
16.7498588562,0.53396320343,0.284794270992
16.7498588562,0.512113213539,0.322152286768
16.7498588562,0.511477708817,0.323178082705
16.7498588562,0.519898831844,0.309528142214
