"vtkOriginalPointIds","Points:0","Points:1","Points:2"
1769,37.542705535889,4.5781998634338,0.17670273780823
1770,37.488933563232,4.5781998634338,0.17664295434952
1773,37.650249481201,4.5781998634338,0.17571264505386
1774,37.600559234619,4.5781998634338,0.1763452142477
1780,37.435157775879,4.5781998634338,0.17617937922478
1781,37.384143829346,4.5781998634338,0.17534209787846
1784,37.381393432617,4.5781998634338,0.17528547346592
1789,37.32763671875,4.5781998634338,0.17393361032009
1790,37.273895263672,4.5781998634338,0.1720953732729
1803,37.220169067383,4.5781998634338,0.1697406321764
1804,37.166473388672,4.5781998634338,0.1668397039175
1809,37.112815856934,4.5781998634338,0.16337130963802
1810,37.059192657471,4.5781998634338,0.15933702886105
1819,37.005615234375,4.5781998634338,0.154775172472
1820,36.959758758545,4.5781998634338,0.15047243237495
1825,36.92533493042,4.5781998634338,0.14691637456417
1826,36.911975860596,4.5781998634338,0.14541891217232
1831,36.952079772949,4.5781998634338,0.14970895648003
1837,36.895843505859,4.5781998634338,0.14348545670509
1838,36.885288238525,4.5781998634338,0.14212815463543
1842,36.898624420166,4.5781998634338,0.1438302397728
1844,36.865325927734,4.5781998634338,0.13930985331535
1846,36.852043151855,4.5781998634338,0.13721860945225
1848,36.861938476562,4.5781998634338,0.13879419863224
1849,36.858680725098,4.5781998634338,0.138287499547
1853,36.871974945068,4.5781998634338,0.14028887450695
1855,36.838798522949,4.5781998634338,0.13493011891842
1857,36.825588226318,4.5781998634338,0.13242238759995
1860,36.835124969482,4.5781998634338,0.1342561841011
1861,36.832187652588,4.5781998634338,0.13370481133461
1866,36.819004058838,4.5781998634338,0.13107945024967
1867,36.817611694336,4.5781998634338,0.13078591227531
1869,36.806716918945,4.5781998634338,0.12827914953232
1871,36.807529449463,4.5781998634338,0.12848807871342
1873,36.810688018799,4.5781998634338,0.12925513088703
1874,36.809162139893,4.5781998634338,0.12889185547829
1877,36.812435150146,4.5781998634338,0.12965573370457
1880,36.803497314453,4.5781998634338,0.12738502025604
1882,36.8014793396,4.5781998634338,0.12675258517265
1884,36.800281524658,4.5781998634338,0.12634308636189
1886,36.802673339844,4.5781998634338,0.12713512778282
1889,36.799491882324,4.5781998634338,0.12605617940426
1890,36.799098968506,4.5781998634338,0.12590788304806
1891,36.798538208008,4.5781998634338,0.12568834424019
1892,36.798316955566,4.5781998634338,0.12559899687767
1900,36.797931671143,4.5781998634338,0.12543775141239
1901,36.797649383545,4.5781998634338,0.12531724572182
1907,36.796924591064,4.5781998634338,0.12498848885298
1915,36.795837402344,4.5781998634338,0.1244373768568
1925,36.795471191406,4.5781998634338,0.12423008680344
1926,36.795299530029,4.5781998634338,0.1241277307272
1930,36.79566192627,4.5781998634338,0.12434011697769
1942,36.794628143311,4.5781998634338,0.12366446852684
1943,36.794609069824,4.5781998634338,0.12364940345287
1944,36.794860839844,4.5781998634338,0.12384018301964
1945,36.794734954834,4.5781998634338,0.12374729663134
1949,36.794948577881,4.5781998634338,0.1239001750946
1975,36.7942237854,4.5781998634338,0.12327641993761
1976,36.79418182373,4.5781998634338,0.12322383373976
1978,36.794269561768,4.5781998634338,0.12333237379789
1980,36.794300079346,4.5781998634338,0.12336397916079
1986,36.794139862061,4.5781998634338,0.12317378818989
1990,36.794109344482,4.5781998634338,0.12312559783459
1992,36.794048309326,4.5781998634338,0.12304142862558
1993,36.794048309326,4.5781998634338,0.12303198128939
1995,36.794075012207,4.5781998634338,0.12308121472597
1998,36.794330596924,4.5781998634338,0.1233918890357
2002,36.794456481934,4.5781998634338,0.123519949615
2003,36.79439163208,4.5781998634338,0.12345441430807
2005,36.794540405273,4.5781998634338,0.12358955293894
2012,36.795017242432,4.5781998634338,0.12394692003727
2014,36.795211791992,4.5781998634338,0.12407270818949
2022,36.796325683594,4.5781998634338,0.12469583749771
2025,36.799812316895,4.5781998634338,0.1261740475893
2030,36.805904388428,4.5781998634338,0.12806436419487
2033,36.845417022705,4.5781998634338,0.13610048592091
2035,37.056854248047,4.5781998634338,0.15914878249168
2047,38.455410003662,4.5781998634338,0.13094007968903
2048,38.373016357422,4.5781998634338,0.13826137781143
2051,38.29468536377,4.5781998634338,0.14478580653667
2052,38.187438964844,4.5781998634338,0.15284463763237
2060,38.080112457275,4.5781998634338,0.15974849462509
2061,38.011871337891,4.5781998634338,0.16349658370018
2064,37.972717285156,4.5781998634338,0.16542522609234
2068,37.865261077881,4.5781998634338,0.16994039714336
2069,37.75777053833,4.5781998634338,0.17339770495892
2081,36.79402923584,4.5781998634338,0.12300536781549
2082,36.794010162354,4.5781998634338,0.12297244369984
2085,36.793994903564,4.5781998634338,0.12294216454029
2088,36.793983459473,4.5781998634338,0.12291380017996
2091,36.793972015381,4.5781998634338,0.12288737297058
2094,36.793960571289,4.5781998634338,0.12286225706339
2097,36.793933868408,4.5781998634338,0.12277288734913
2098,36.793930053711,4.5781998634338,0.12275054305792
2102,36.793956756592,4.5781998634338,0.1228384822607
2105,36.793937683105,4.5781998634338,0.12279376387596
2108,36.7939453125,4.5781998634338,0.12281551212072
2112,36.793926239014,4.5781998634338,0.12272918224335
2114,36.793922424316,4.5781998634338,0.12270866334438
2116,36.793918609619,4.5781998634338,0.12268897891045
2118,36.793918609619,4.5781998634338,0.12265189737082
2119,36.793918609619,4.5781998634338,0.12263713032007
2120,36.793918609619,4.5781998634338,0.12267015874386
2129,37.666809082031,4.5781998634338,0.17543818056583
2132,37.2219581604,4.5781998634338,0.12287067621946
2133,37.70219039917,4.5781998634338,0.12815511226654
