X	S11	S12	S22					
3.28E-01	50.25	1.39E+04	-138.272					
3.30E-01	49.125	1.39E+04	-137.994					
3.33E-01	48	1.39E+04	-137.727					
3.35E-01	46.875	1.39E+04	-137.472					
3.38E-01	45.75	1.39E+04	-137.228					
3.40E-01	44.5938	1.39E+04	-136.997					
3.43E-01	43.4219	1.39E+04	-136.776					
3.45E-01	42.2656	1.39E+04	-136.568					
3.48E-01	41.1094	1.39E+04	-136.371					
3.50E-01	39.9375	1.39E+04	-136.185					
3.53E-01	38.75	1.39E+04	-136.012					
3.55E-01	37.5625	1.39E+04	-135.85					
3.58E-01	36.375	1.39E+04	-135.699					
3.60E-01	35.1719	1.39E+04	-135.56					
3.63E-01	33.9688	1.39E+04	-135.432					
3.65E-01	32.7813	1.39E+04	-135.317					
3.68E-01	31.5781	1.39E+04	-135.212					
3.70E-01	30.3438	1.39E+04	-135.12					
3.73E-01	29.1094	1.39E+04	-135.039					
3.75E-01	27.875	1.39E+04	-134.969					
3.78E-01	26.625	1.39E+04	-134.911					
3.80E-01	25.375	1.39E+04	-134.864					
3.83E-01	24.125	1.39E+04	-134.829					
3.85E-01	22.8594	1.39E+04	-134.805					
3.88E-01	21.5938	1.39E+04	-134.793					
3.90E-01	20.3281	1.39E+04	-134.792					
3.93E-01	19.0469	1.39E+04	-134.802					
3.95E-01	17.7656	1.39E+04	-134.824					
3.98E-01	16.4688	1.39E+04	-134.857					
4.00E-01	15.1563	1.39E+04	-134.901					
4.03E-01	13.8594	1.39E+04	-134.957					
4.05E-01	12.5625	1.39E+04	-135.023					
4.08E-01	11.25	1.39E+04	-135.101					
4.10E-01	9.9375	1.39E+04	-135.19					
4.13E-01	8.59375	1.39E+04	-135.29					
4.15E-01	7.23438	1.39E+04	-135.401					
4.18E-01	5.90625	1.39E+04	-135.523					
4.20E-01	4.5625	1.39E+04	-135.656					
4.23E-01	3.21875	1.39E+04	-135.8					
4.25E-01	1.875	1.39E+04	-135.954					
4.28E-01	5.16E-01	1.39E+04	-136.12					
4.30E-01	-8.44E-01	1.39E+04	-136.296					
4.33E-01	-2.21875	1.39E+04	-136.482					
4.35E-01	-3.60938	1.39E+04	-136.68					
4.38E-01	-5	1.39E+04	-136.888					
4.40E-01	-6.39063	1.39E+04	-137.107					
4.43E-01	-7.78125	1.39E+04	-137.336					
4.45E-01	-9.17188	1.39E+04	-137.575					
4.48E-01	-10.5781	1.39E+04	-137.825					
4.50E-01	-11.9844	1.39E+04	-138.085					
4.53E-01	-13.3906	1.39E+04	-138.355					
4.55E-01	-14.8125	1.39E+04	-138.635					
4.58E-01	-16.2344	1.39E+04	-138.926					
4.60E-01	-17.6719	1.39E+04	-139.227					
4.63E-01	-19.1094	1.39E+04	-139.537					
4.65E-01	-20.5313	1.39E+04	-139.857					
4.68E-01	-21.9844	1.39E+04	-140.187					
4.70E-01	-23.4375	1.39E+04	-140.527					
4.73E-01	-24.8906	1.39E+04	-140.876					
4.75E-01	-26.3438	1.39E+04	-141.235					
4.78E-01	-27.8125	1.39E+04	-141.603					
4.80E-01	-29.2813	1.39E+04	-141.981					
4.83E-01	-30.7344	1.39E+04	-142.368					
4.85E-01	-32.2031	1.39E+04	-142.764					
4.88E-01	-33.6875	1.39E+04	-143.17					
4.90E-01	-35.1719	1.39E+04	-143.584					
4.93E-01	-36.6406	1.39E+04	-144.008					
4.95E-01	-38.125	1.39E+04	-144.44					
4.98E-01	-39.625	1.39E+04	-144.882					
5.00E-01	-41.125	1.39E+04	-145.332					
5.03E-01	-42.625	1.39E+04	-145.79					
5.05E-01	-44.125	1.39E+04	-146.257					
5.08E-01	-45.625	1.39E+04	-146.733					
5.10E-01	-47.1406	1.39E+04	-147.217					
5.13E-01	-48.6719	1.39E+04	-147.709					
5.15E-01	-50.1719	1.39E+04	-148.21					
5.18E-01	-51.6719	1.39E+04	-148.718					
5.20E-01	-53.1875	1.39E+04	-149.235					
5.23E-01	-54.7188	1.39E+04	-149.759					
5.25E-01	-56.25	1.39E+04	-150.291					
5.28E-01	-57.7656	1.39E+04	-150.83					
5.30E-01	-59.2969	1.39E+04	-151.378					
5.33E-01	-60.8281	1.39E+04	-151.933					
5.35E-01	-62.375	1.39E+04	-152.494					
5.38E-01	-63.9219	1.39E+04	-153.064					
5.40E-01	-65.4531	1.39E+04	-153.641					
5.43E-01	-67	1.39E+04	-154.224					
5.45E-01	-68.5313	1.39E+04	-154.814					
5.48E-01	-70.0625	1.39E+04	-155.412					
5.50E-01	-71.625	1.39E+04	-156.016					
5.53E-01	-73.1719	1.39E+04	-156.627					
5.55E-01	-74.7031	1.39E+04	-157.243					
5.58E-01	-76.25	1.39E+04	-157.867					
5.60E-01	-77.8125	1.39E+04	-158.497					
5.63E-01	-79.375	1.39E+04	-159.133					
5.65E-01	-80.9219	1.39E+04	-159.775					
5.68E-01	-82.4688	1.39E+04	-160.423					
5.70E-01	-84.0313	1.39E+04	-161.076					
5.73E-01	-85.5781	1.39E+04	-161.736					
5.75E-01	-87.125	1.39E+04	-162.401					
5.78E-01	-88.6875	1.39E+04	-163.072					
